elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
1593.84,1704245,3417.6279296875,3479.351318359375,3484.4990234375,3485.37939453125,3482.037841796875,3485.908935546875,3516.623291015625,3417.559814453125,3479.38916015625,3484.4716796875,3485.366455078125,3482.02001953125,3485.8505859375,3516.67919921875,24351.3359375,24351.30859375,-8.916421890258789,-8.741538047790527,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1593.89,1704297,3417.49169921875,3479.394775390625,3484.48974609375,3485.27490234375,3482.01611328125,3485.6962890625,3516.8828125,3417.548828125,3479.4013671875,3484.45654296875,3485.317138671875,3482.00537109375,3485.79638671875,3516.775634765625,24351.30078125,24351.310546875,-9.175701141357422,-8.77577018737793,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1593.95,1704348,3417.5693359375,3479.329833984375,3484.486572265625,3485.36767578125,3482.0263671875,3485.96923828125,3516.614990234375,3417.565185546875,3479.34521484375,3484.49853515625,3485.3125,3481.986083984375,3485.896484375,3516.688232421875,24351.291015625,24351.294921875,-8.308454513549805,-8.511993408203125,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1594.00,1704399,3417.65576171875,3479.377685546875,3484.400390625,3485.27392578125,3482.0615234375,3485.760009765625,3516.933837890625,3417.579345703125,3479.390380859375,3484.45703125,3485.309814453125,3482.020263671875,3485.780029296875,3516.84716796875,24351.375,24351.34765625,-9.162290573120117,-8.883708953857422,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1594.05,1704449,3417.550048828125,3479.447509765625,3484.44189453125,3485.319091796875,3482.029541015625,3485.61669921875,3516.81787109375,3417.565185546875,3479.382080078125,3484.4599609375,3485.326171875,3482.012939453125,3485.729248046875,3516.7841796875,24351.2578125,24351.2890625,-8.531970977783203,-8.617230415344238,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1594.10,1704499,3417.558837890625,3479.32373046875,3484.495849609375,3485.30126953125,3482.025390625,3485.84521484375,3516.735107421875,3417.554443359375,3479.37255859375,3484.435302734375,3485.299560546875,3481.98681640625,3485.82080078125,3516.671875,24351.140625,24351.185546875,-8.670552253723145,-8.546854972839355,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1594.15,1704551,3417.52880859375,3479.35546875,3484.412841796875,3485.3466796875,3481.927490234375,3485.765380859375,3516.786376953125,3417.550048828125,3479.364501953125,3484.416259765625,3485.332275390625,3481.96728515625,3485.767333984375,3516.781005859375,24351.130859375,24351.15234375,-8.084936141967773,-8.607069969177246,30.165740966796875,0,False,OFF,0,REST,8,0.000,
1594.20,1704602,3417.536376953125,3479.395751953125,3484.445068359375,3485.391845703125,3482.019287109375,3485.73193359375,3516.85546875,3417.55419921875,3479.37744140625,3484.44482421875,3485.33349609375,3481.98388671875,3485.700927734375,3516.843017578125,24351.220703125,24351.185546875,-8.585615158081055,-8.566963195800781,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1594.25,1704653,3417.4970703125,3479.33837890625,3484.40771484375,3485.173583984375,3482.033935546875,3485.693115234375,3516.88916015625,3417.546142578125,3479.338623046875,3484.422119140625,3485.296875,3482.0078125,3485.722900390625,3516.851806640625,24351.1640625,24351.203125,-8.742077827453613,-8.545656204223633,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1594.30,1704704,3417.58544921875,3479.29833984375,3484.466796875,3485.413818359375,3481.96240234375,3485.742919921875,3516.784423828125,3417.54443359375,3479.3388671875,3484.441162109375,3485.29638671875,3481.968017578125,3485.783203125,3516.78125,24351.154296875,24351.181640625,-8.938773155212402,-8.50464916229248,30.142730712890625,0,False,OFF,0,REST,8,0.000,
